ave,std,max,min,av_change_abs,av_change_rate,abs_max,abs_min,std_first_50000,std_last_50000,std_first_10000,std_last_10000,avg_first_50000,avg_last_50000,avg_first_10000,avg_last_10000,min_first_50000,min_last_50000,min_first_10000,min_last_10000,max_first_50000,max_last_50000,max_first_10000,max_last_10000
4.8841133333333335,5.101089126891323,104.0,-98.0,-8.000053333688891e-05,74836.57719922061,104.0,0.0,6.488487003146419,3.664626773410902,11.206590739381893,4.3611884435323365,4.9621,4.62046,5.182,4.6756,-98.0,-21.0,-98.0,-16.0,104.0,30.0,104.0,26.0
4.725766666666667,6.588801819164257,181.0,-154.0,0.0,74891.73623190598,181.0,0.0,7.305159645072789,5.493015569284325,3.9765512897484423,3.6677067276433104,4.6984,4.78834,4.7772,4.9144,-154.0,-115.0,-23.0,-24.0,181.0,111.0,29.0,29.0
4.906393333333333,6.9673738088289445,140.0,-106.0,-1.3333422222814819e-05,75099.22445050174,140.0,0.0,6.104775408645269,8.603609576427791,8.454294414083295,9.493508455255096,4.7061,5.08742,4.6814,5.1811,-87.0,-106.0,-87.0,-71.0,97.0,140.0,97.0,95.0
4.90224,6.922282112791032,197.0,-199.0,0.0,74933.99187864857,199.0,0.0,6.238047094275579,5.652385375078384,6.865833892543571,4.364211698577419,4.84364,5.03346,5.0364,5.1725,-63.0,-79.0,-48.0,-36.0,75.0,84.0,75.0,35.0
4.90872,7.301085852684289,145.0,-126.0,-6.6667111114074095e-06,75010.01604597527,145.0,0.0,5.32377627764353,7.6944291221896375,5.16433536381982,11.40432934240326,4.89116,4.82906,4.9405,4.7085,-96.0,-126.0,-44.0,-126.0,93.0,128.0,57.0,128.0
4.913513333333333,5.434092999126493,142.0,-144.0,-7.33338222254815e-05,75045.71025289307,144.0,0.0,4.442095247920737,5.145203870946223,3.664369892628199,5.529113302329768,5.07078,4.66792,4.7177,4.5103,-50.0,-55.0,-13.0,-46.0,53.0,58.0,24.0,49.0
4.85566,5.687804435608993,120.0,-78.0,3.333355555703705e-05,75084.51367813312,120.0,0.0,5.944308345938996,5.386817859590205,3.2135184704619326,3.682245454882116,4.90378,4.76426,4.8148,4.7971,-70.0,-58.0,-13.0,-14.0,107.0,72.0,24.0,23.0
4.505426666666667,5.854492054649622,139.0,-134.0,0.0,75066.00999833488,139.0,0.0,6.069685208180076,7.078106263090432,7.915402978370715,3.4100128797410725,4.50644,4.40278,4.5663,4.3904,-89.0,-134.0,-85.0,-14.0,103.0,139.0,94.0,22.0
4.717833333333333,7.789617147559665,168.0,-156.0,1.3333422222814819e-05,74992.56617541744,168.0,0.0,9.287951192292086,5.993041667767712,12.922951611764242,3.912657403862495,4.60864,4.76678,4.6858,4.5302,-156.0,-94.0,-145.0,-14.0,168.0,128.0,132.0,37.0
4.73096,6.890436184432255,152.0,-126.0,-6.6667111114074095e-06,74902.63124405597,152.0,0.0,9.01260462632196,4.943975779714137,4.012356513322314,3.5742298471139207,4.55136,4.86164,4.3961,5.059,-126.0,-61.0,-20.0,-20.0,152.0,56.0,32.0,32.0
4.582873333333334,6.157251443944412,245.0,-115.0,4.000026666844446e-05,75093.88481228024,245.0,0.0,4.718090440676185,4.7312565650575324,3.6316290504400364,4.814814301715072,4.73044,4.34034,4.8138,4.1482,-39.0,-46.0,-16.0,-43.0,56.0,56.0,28.0,46.0
4.329933333333333,15.253949346389685,410.0,-478.0,1.3333422222814819e-05,74780.53621283913,478.0,0.0,24.80801408548455,5.47641442639251,5.047619284375556,3.8226214617720133,4.13812,4.38048,4.2866,4.3246,-478.0,-71.0,-30.0,-20.0,410.0,110.0,37.0,23.0
4.46404,8.660472670610998,224.0,-169.0,2.6666844445629638e-05,75027.18052174436,224.0,0.0,8.560798502476274,10.960418732420765,4.126540380270137,5.263609392802623,4.377,4.5989,4.3857,4.5204,-153.0,-169.0,-24.0,-36.0,139.0,224.0,41.0,45.0
4.680813333333333,6.0333263245484146,139.0,-129.0,-6.6667111114074095e-06,74985.0619905442,139.0,0.0,5.306329262154771,4.64863038715706,4.619367358199605,4.7534577057127585,4.57204,4.87894,4.5211,4.7772,-58.0,-35.0,-20.0,-24.0,61.0,49.0,31.0,33.0
